"Label","Purpose","Source","Target","WebPath","SizeKB"
"admin_dashboard_seo_score","後台 / SEO 工具展示","apps\marketing\public\images\ui-mockups\admin-dashboard-seo-score.png","apps\marketing\public\images\ui-mockups\admin-dashboard-seo-score-final.png","/images/ui-mockups/admin-dashboard-seo-score-final.png","1621.3"
"background_bright","亮色品牌延伸背景","apps\marketing\public\images\backgrounds\mountain-bright-bg.png","apps\marketing\public\images\backgrounds\mountain-bright-bg-final.png","/images/backgrounds/mountain-bright-bg-final.png","2056"
"background_dark","深色 CTA / Hero 背景","apps\marketing\public\images\backgrounds\mountain-dark-bg.png","apps\marketing\public\images\backgrounds\mountain-dark-bg-final.png","/images/backgrounds/mountain-dark-bg-final.png","2008.9"
"blog_visual","Blog 頁面視覺","apps\marketing\public\images\ui-mockups\16-mockup-06-blog-02-blog.png","apps\marketing\public\images\blog\blog-visual-final.png","/images/blog/blog-visual-final.png","1739.1"
"case_visual","案例頁面視覺","apps\marketing\public\images\ui-mockups\15-mockup-06-blog-01.png","apps\marketing\public\images\cases\case-visual-final.png","/images/cases/case-visual-final.png","2294.4"
"ecommerce_backup_a","電商網站備用視覺 A","docs\design\source-images\zip-unclassified\03-02.png","apps\marketing\public\images\products\ecommerce-website\ecommerce-backup-a-final.png","/images/products/ecommerce-website/ecommerce-backup-a-final.png","1642.5"
"ecommerce_backup_b","電商網站備用視覺 B","docs\design\source-images\zip-unclassified\04-01-hero.png","apps\marketing\public\images\products\ecommerce-website\ecommerce-backup-b-final.png","/images/products/ecommerce-website/ecommerce-backup-b-final.png","1568"
"ecommerce_hero","電商網站產品頁 Hero","apps\marketing\public\images\products\ecommerce-website\product-ecommerce-website-hero.png","apps\marketing\public\images\products\ecommerce-website\ecommerce-website-hero-final.png","/images/products/ecommerce-website/ecommerce-website-hero-final.png","1568"
"home_hero","首頁 Hero 主視覺","apps\marketing\public\images\hero\home-hero-platform-ui.png","apps\marketing\public\images\hero\home-hero-platform-ui-final.png","/images/hero/home-hero-platform-ui-final.png","1889.8"
"landing_page_hero","一頁式網頁產品頁 Hero","apps\marketing\public\images\products\landing-page\product-landing-page-hero.png","apps\marketing\public\images\products\landing-page\landing-page-hero-final.png","/images/products/landing-page/landing-page-hero-final.png","2117.3"
"promo_page_examples_a","活動 DM 範例圖 A","apps\marketing\public\images\products\promo-page-design\13-02-dm.png","apps\marketing\public\images\products\promo-page-design\promo-page-examples-a-final.png","/images/products/promo-page-design/promo-page-examples-a-final.png","2149.7"
"promo_page_examples_b","活動 DM 範例圖 B","apps\marketing\public\images\products\promo-page-design\14-01-dm.png","apps\marketing\public\images\products\promo-page-design\promo-page-examples-b-final.png","/images/products/promo-page-design/promo-page-examples-b-final.png","1809"
"promo_page_hero","活動 DM / 宣傳頁產品頁 Hero","apps\marketing\public\images\products\promo-page-design\product-promo-page-design-hero.png","apps\marketing\public\images\products\promo-page-design\promo-page-design-hero-final.png","/images/products/promo-page-design/promo-page-design-hero-final.png","1809"
"seo_article_generator_hero","SEO 文章生產器產品頁 Hero","apps\marketing\public\images\products\seo-article-generator\product-seo-article-generator-hero.png","apps\marketing\public\images\products\seo-article-generator\seo-article-generator-hero-final.png","/images/products/seo-article-generator/seo-article-generator-hero-final.png","1538.1"
"seo_website_hero","SEO 形象官網產品頁 Hero","apps\marketing\public\images\products\seo-website\product-seo-website-hero.png","apps\marketing\public\images\products\seo-website\seo-website-hero-final.png","/images/products/seo-website/seo-website-hero-final.png","1903.4"
"template_showcase","版型展示 / RWD 展示","apps\marketing\public\images\templates\template-showcase-devices.png","apps\marketing\public\images\templates\template-showcase-devices-final.png","/images/templates/template-showcase-devices-final.png","1682.2"
